artist,date,rank,title,weeks
Soundtrack,2017-03-04,1,Fifty Shades Darker,1
Bruno Mars,2017-03-04,2,24K Magic,2
Big Sean,2017-03-04,3,I Decided,1
Migos,2017-03-04,4,Culture,1
The Weeknd,2017-03-04,5,Starboy,1
Adele,2017-03-04,6,25,1
Soundtrack,2017-03-04,7,Trolls,3
Lady GaGa,2017-03-04,8,Joanne,1
Beyoncé,2017-03-04,9,Lemonade,1
Soundtrack,2017-03-04,10,La La Land,2
Post Malone,2017-03-04,11,Stoney,6
Joy Villa,2017-03-04,12,I Make The Static (ep),12
Twenty One Pilots,2017-03-04,13,Blurryface,1
Soundtrack,2017-03-04,14,Moana,2
Drake,2017-03-04,15,Views,1
Reba McEntire,2017-03-04,16,Sing It Now: Songs Of Faith & Hope,4
Original Broadway Cast Recording,2017-03-04,17,Hamilton: An American Musical,3
Brett Young,2017-03-04,18,Brett Young,18
Various Artists,2017-03-04,19,2017 Grammy Nominees,16
Various Artists,2017-03-04,20,"The Rca-list, Volume 4",10
Rihanna,2017-03-04,21,ANTI,1
Chance The Rapper,2017-03-04,22,Coloring Book,8
Keith Urban,2017-03-04,23,Ripcord,4
Garth Brooks,2017-03-04,24,The Ultimate Collection,6
Brantley Gilbert,2017-03-04,25,The Devil Don't Sleep,2
Maren Morris,2017-03-04,26,Hero,5
The Chainsmokers,2017-03-04,27,Collage,6
Lupe Fiasco,2017-03-04,28,Drogas Light,28
Various Artists,2017-03-04,29,Now 61,5
J. Cole,2017-03-04,30,4 Your Eyez Only,1
Travis Scott,2017-03-04,31,Birds In The Trap Sing McKnight,1
Red Hot Chili Peppers,2017-03-04,32,The Getaway,2
Prince,2017-03-04,33,4Ever,33
Kehlani,2017-03-04,34,SweetSexySavage,3
Metallica,2017-03-04,35,Hardwired...To Self-Destruct,1
Rae Sremmurd,2017-03-04,36,Sremmlife 2,4
Lady GaGa,2017-03-04,37,The Fame,2
The Weeknd,2017-03-04,38,Beauty Behind The Madness,1
Soundtrack,2017-03-04,39,Suicide Squad - The Album,1
Ariana Grande,2017-03-04,40,Dangerous Woman,2
Chris Stapleton,2017-03-04,41,Traveller,1
Shawn Mendes,2017-03-04,42,Illuminate,1
Andrew McMahon In The Wilderness,2017-03-04,43,Zombies On Broadway,43
Sturgill Simpson,2017-03-04,44,A Sailor's Guide To Earth,3
Ed Sheeran,2017-03-04,45,X,1
Panic! At The Disco,2017-03-04,46,Death Of A Bachelor,1
21 Savage,2017-03-04,47,Savage Mode,23
Jon Bellion,2017-03-04,48,The Human Condition,5
Various Artists,2017-03-04,49,Epic Lit,27
Sia,2017-03-04,50,This Is Acting,4
Justin Bieber,2017-03-04,51,Purpose,1
Adele,2017-03-04,52,21,1
Drake,2017-03-04,53,Take Care,1
Kanye West,2017-03-04,54,The Life Of Pablo,1
Jason Aldean,2017-03-04,55,They Don't Know,1
James Arthur,2017-03-04,56,Back From The Edge,52
Twenty One Pilots,2017-03-04,57,Vessel,21
Thomas Rhett,2017-03-04,58,Tangled Up,6
Lukas Graham,2017-03-04,59,Lukas Graham,26
Kelsea Ballerini,2017-03-04,60,The First Time,31
BTS,2017-03-04,61,You Never Walk Alone,61
Bryson Tiller,2017-03-04,62,T R A P S O U L,8
Marian Hill,2017-03-04,63,Act One,42
Alessia Cara,2017-03-04,64,Know-it-all,9
Bob Marley,2017-03-04,65,Legend: The Best Of Bob Marley And The Wailers,5
Florida Georgia Line,2017-03-04,66,Dig Your Roots,2
PnB Rock,2017-03-04,67,Gttm: Goin Thru The Motions,28
J. Cole,2017-03-04,68,2014 Forest Hills Drive,1
Overkill,2017-03-04,69,The Grinding Wheel,69
Childish Gambino,2017-03-04,70,"Awaken, My Love!",5
Journey,2017-03-04,71,Greatest Hits,18
Bruno Mars,2017-03-04,72,Doo-wops & Hooligans,3
John Legend,2017-03-04,73,Darkness And Light,14
Soundtrack,2017-03-04,74,Sing,8
Kidz Bop Kids,2017-03-04,75,Kidz Bop 3,6
G-Eazy,2017-03-04,76,When It's Dark Out,5
Gucci Mane,2017-03-04,77,The Return Of East Atlanta Santa,16
Train,2017-03-04,78,A Girl A Bottle A Boat,8
Sam Hunt,2017-03-04,79,Montevallo,3
Lil Uzi Vert,2017-03-04,80,Lil Uzi Vert Vs. The World,37
Melanie Martinez,2017-03-04,81,Cry Baby,6
Kevin Gates,2017-03-04,82,Islah,2
A Tribe Called Quest,2017-03-04,83,We Got It From Here... Thank You 4 Your Service,1
Eminem,2017-03-04,84,The Eminem Show,12
Luke Bryan,2017-03-04,85,Kill The Lights,1
Miranda Lambert,2017-03-04,86,The Weight Of These Wings,3
Halsey,2017-03-04,87,Badlands,2
Drake,2017-03-04,88,If You're Reading This It's Too Late,1
The Lumineers,2017-03-04,89,Cleopatra,1
Anderson .Paak,2017-03-04,90,Malibu,79
Kendrick Lamar,2017-03-04,91,"Good Kid, M.A.A.D City",2
Lauren Daigle,2017-03-04,92,How Can It Be,28
Future,2017-03-04,93,DS2,1
6Lack,2017-03-04,94,Free 6lack,68
Jon Pardi,2017-03-04,95,California Sunrise,11
Metallica,2017-03-04,96,Metallica (The Black Album),51
Kari Jobe,2017-03-04,97,The Garden,22
Beyoncé,2017-03-04,98,Beyoncé,1
Queen,2017-03-04,99,Greatest Hits I Ii & Iii: The Platinum Collection,72
D.R.A.M.,2017-03-04,100,Big Baby D.r.a.m.,19
Big Sean,2017-02-25,1,I Decided,1
Lady GaGa,2017-02-25,2,Joanne,1
Migos,2017-02-25,3,Culture,1
Reba McEntire,2017-02-25,4,Sing It Now: Songs Of Faith & Hope,4
The Weeknd,2017-02-25,5,Starboy,1
Lady GaGa,2017-02-25,6,The Fame,2
Bruno Mars,2017-02-25,7,24K Magic,2
Original Broadway Cast,2017-02-25,8,Dear Evan Hansen,8
Post Malone,2017-02-25,9,Stoney,6
Various Artists,2017-02-25,10,"The Rca-list, Volume 4",10
Soundtrack,2017-02-25,11,La La Land,2
Brantley Gilbert,2017-02-25,12,The Devil Don't Sleep,2
Original Broadway Cast Recording,2017-02-25,13,Hamilton: An American Musical,3
Soundtrack,2017-02-25,14,Trolls,3
Drake,2017-02-25,15,Views,1
Soundtrack,2017-02-25,16,Moana,2
Kehlani,2017-02-25,17,SweetSexySavage,3
Twenty One Pilots,2017-02-25,18,Blurryface,1
Various Artists,2017-02-25,19,Now 61,5
Rihanna,2017-02-25,20,ANTI,1
Adele,2017-02-25,21,25,1
Kari Jobe,2017-02-25,22,The Garden,22
J. Cole,2017-02-25,23,4 Your Eyez Only,1
The Chainsmokers,2017-02-25,24,Collage,6
Lady GaGa,2017-02-25,25,Born This Way ,1
Travis Scott,2017-02-25,26,Birds In The Trap Sing McKnight,1
Rae Sremmurd,2017-02-25,27,Sremmlife 2,4
Ariana Grande,2017-02-25,28,Dangerous Woman,2
Chris Stapleton,2017-02-25,29,Traveller,1
Alessia Cara,2017-02-25,30,Know-it-all,9
Various Artists,2017-02-25,31,2017 Grammy Nominees,16
Soundtrack,2017-02-25,32,Suicide Squad - The Album,1
Beyoncé,2017-02-25,33,Lemonade,1
Panic! At The Disco,2017-02-25,34,Death Of A Bachelor,1
21 Savage,2017-02-25,35,Savage Mode,23
Shawn Mendes,2017-02-25,36,Illuminate,1
Various Artists,2017-02-25,37,Epic Lit,27
Jon Bellion,2017-02-25,38,The Human Condition,5
Keith Urban,2017-02-25,39,Ripcord,4
Chance The Rapper,2017-02-25,40,Coloring Book,8
Garth Brooks,2017-02-25,41,The Ultimate Collection,6
The Lumineers,2017-02-25,42,Cleopatra,1
Marian Hill,2017-02-25,43,Act One,42
Sia,2017-02-25,44,This Is Acting,4
The Weeknd,2017-02-25,45,Beauty Behind The Madness,1
Justin Bieber,2017-02-25,46,Purpose,1
Bryson Tiller,2017-02-25,47,T R A P S O U L,8
Train,2017-02-25,48,A Girl A Bottle A Boat,8
G-Eazy,2017-02-25,49,When It's Dark Out,5
Kanye West,2017-02-25,50,The Life Of Pablo,1
Sampha,2017-02-25,51,Process,51
James Arthur,2017-02-25,52,Back From The Edge,52
Ed Sheeran,2017-02-25,53,X,1
Young Dolph,2017-02-25,54,Gelato,54
Childish Gambino,2017-02-25,55,"Awaken, My Love!",5
Eminem,2017-02-25,56,The Eminem Show,12
Thomas Rhett,2017-02-25,57,Tangled Up,6
Twenty One Pilots,2017-02-25,58,Vessel,21
PnB Rock,2017-02-25,59,Gttm: Goin Thru The Motions,28
Gucci Mane,2017-02-25,60,The Return Of East Atlanta Santa,16
J. Cole,2017-02-25,61,2014 Forest Hills Drive,1
Metallica,2017-02-25,62,Hardwired...To Self-Destruct,1
Florida Georgia Line,2017-02-25,63,Dig Your Roots,2
Lil Uzi Vert,2017-02-25,64,Lil Uzi Vert Vs. The World,37
Sam Hunt,2017-02-25,65,Montevallo,3
Melanie Martinez,2017-02-25,66,Cry Baby,6
The Menzingers,2017-02-25,67,After The Party,67
Luke Bryan,2017-02-25,68,Kill The Lights,1
Kidz Bop Kids,2017-02-25,69,Kidz Bop 3,6
Eminem,2017-02-25,70,Curtain Call: The Hits,1
Drake,2017-02-25,71,Take Care,1
Halsey,2017-02-25,72,Badlands,2
Queen,2017-02-25,73,Greatest Hits I Ii & Iii: The Platinum Collection,72
Kevin Gates,2017-02-25,74,Islah,2
Syd,2017-02-25,75,Fin,75
Kendrick Lamar,2017-02-25,76,"Good Kid, M.A.A.D City",2
Drake,2017-02-25,77,If You're Reading This It's Too Late,1
John Legend,2017-02-25,78,Darkness And Light,14
Red Hot Chili Peppers,2017-02-25,79,The Getaway,2
Jason Aldean,2017-02-25,80,They Don't Know,1
Future,2017-02-25,81,DS2,1
Maren Morris,2017-02-25,82,Hero,5
Lauren Daigle,2017-02-25,83,How Can It Be,28
6Lack,2017-02-25,84,Free 6lack,68
Bob Marley,2017-02-25,85,Legend: The Best Of Bob Marley And The Wailers,5
Jon Pardi,2017-02-25,86,California Sunrise,11
Adele,2017-02-25,87,21,1
Leann Rimes,2017-02-25,88,Remnants,88
DJ Snake,2017-02-25,89,Encore,8
A Boogie Wit Da Hoodie,2017-02-25,90,Artist,70
D.R.A.M.,2017-02-25,91,Big Baby D.r.a.m.,19
Soundtrack,2017-02-25,92,Sing,8
Imagine Dragons,2017-02-25,93,Night Visions,2
Kaleo,2017-02-25,94,A / B,16
Miranda Lambert,2017-02-25,95,The Weight Of These Wings,3
Drake,2017-02-25,96,Nothing Was The Same,1
Bruno Mars,2017-02-25,97,Doo-wops & Hooligans,3
Frank Ocean,2017-02-25,98,Blonde,1
Drake,2017-02-25,99,What A Time To Be Alive,1
Kelsea Ballerini,2017-02-25,100,The First Time,31
Migos,2017-02-18,1,Culture,1
Brantley Gilbert,2017-02-18,2,The Devil Don't Sleep,2
Kehlani,2017-02-18,3,SweetSexySavage,3
The Weeknd,2017-02-18,4,Starboy,1
Various Artists,2017-02-18,5,Now 61,5
Soundtrack,2017-02-18,6,La La Land,2
Bruno Mars,2017-02-18,7,24K Magic,2
Train,2017-02-18,8,A Girl A Bottle A Boat,8
Post Malone,2017-02-18,9,Stoney,6
Soundtrack,2017-02-18,10,Moana,2
Various Artists,2017-02-18,11,"The Rca-list, Volume 3",11
Original Broadway Cast Recording,2017-02-18,12,Hamilton: An American Musical,3
Drake,2017-02-18,13,Views,1
Soundtrack,2017-02-18,14,Trolls,3
J. Cole,2017-02-18,15,4 Your Eyez Only,1
Twenty One Pilots,2017-02-18,16,Blurryface,1
Rihanna,2017-02-18,17,ANTI,1
Bell Biv Devoe,2017-02-18,18,Three Stripes,18
The Chainsmokers,2017-02-18,19,Collage,6
Travis Scott,2017-02-18,20,Birds In The Trap Sing McKnight,1
Brian,2017-02-18,21,After All These Years,21
Rae Sremmurd,2017-02-18,22,Sremmlife 2,4
Adele,2017-02-18,23,25,1
Soundtrack,2017-02-18,24,Suicide Squad - The Album,1
Chris Stapleton,2017-02-18,25,Traveller,1
Grateful Dead,2017-02-18,26,"Dave's Picks, Volume 21: Boston Garden, Boston, Ma 4 / 2 / 73",26
Panic! At The Disco,2017-02-18,27,Death Of A Bachelor,1
Twiztid,2017-02-18,28,The Continuous Evilution Of Life's ?'s,28
Jon Bellion,2017-02-18,29,The Human Condition,5
21 Savage,2017-02-18,30,Savage Mode,23
Lauren Alaina,2017-02-18,31,Road Less Traveled,31
The Lumineers,2017-02-18,32,Cleopatra,1
Red Hot Chili Peppers,2017-02-18,33,The Getaway,2
Ariana Grande,2017-02-18,34,Dangerous Woman,2
Shawn Mendes,2017-02-18,35,Illuminate,1
Various Artists,2017-02-18,36,Epic Lit,27
New Edition,2017-02-18,37,All The Number Ones,37
Chance The Rapper,2017-02-18,38,Coloring Book,8
Sia,2017-02-18,39,This Is Acting,4
The Weeknd,2017-02-18,40,Beauty Behind The Madness,1
Various Artists,2017-02-18,41,2017 Grammy Nominees,16
Marian Hill,2017-02-18,42,Act One,42
Kidz Bop Kids,2017-02-18,43,Kidz Bop 3,6
Keith Urban,2017-02-18,44,Ripcord,4
Ed Sheeran,2017-02-18,45,X,1
Kanye West,2017-02-18,46,The Life Of Pablo,1
Bryson Tiller,2017-02-18,47,T R A P S O U L,8
PnB Rock,2017-02-18,48,Gttm: Goin Thru The Motions,28
Beyoncé,2017-02-18,49,Lemonade,1
Childish Gambino,2017-02-18,50,"Awaken, My Love!",5
J. Cole,2017-02-18,51,2014 Forest Hills Drive,1
Twenty One Pilots,2017-02-18,52,Vessel,21
Thomas Rhett,2017-02-18,53,Tangled Up,6
Gucci Mane,2017-02-18,54,The Return Of East Atlanta Santa,16
James Arthur,2017-02-18,55,Back From The Edge,52
Lil Uzi Vert,2017-02-18,56,Lil Uzi Vert Vs. The World,37
Metallica,2017-02-18,57,Hardwired...To Self-Destruct,1
Alessia Cara,2017-02-18,58,Know-it-all,9
Florida Georgia Line,2017-02-18,59,Dig Your Roots,2
G-Eazy,2017-02-18,60,When It's Dark Out,5
Melanie Martinez,2017-02-18,61,Cry Baby,6
Justin Bieber,2017-02-18,62,Purpose,1
John Mayer,2017-02-18,63,The Search For Everything: Wave One (ep),2
Drake,2017-02-18,64,Take Care,1
Lauren Daigle,2017-02-18,65,How Can It Be,28
Lady GaGa,2017-02-18,66,Joanne,1
Sam Hunt,2017-02-18,67,Montevallo,3
Drake,2017-02-18,68,If You're Reading This It's Too Late,1
Halsey,2017-02-18,69,Badlands,2
Kevin Gates,2017-02-18,70,Islah,2
The XX,2017-02-18,71,I See You,2
DJ Snake,2017-02-18,72,Encore,8
Soundtrack,2017-02-18,73,Sing,8
Eminem,2017-02-18,74,The Eminem Show,12
Kendrick Lamar,2017-02-18,75,"Good Kid, M.A.A.D City",2
Japandroids,2017-02-18,76,Near To The Wild Heart Of Life,76
Kaleo,2017-02-18,77,A / B,16
Jason Aldean,2017-02-18,78,They Don't Know,1
Garth Brooks,2017-02-18,79,The Ultimate Collection,6
D.R.A.M.,2017-02-18,80,Big Baby D.r.a.m.,19
Future,2017-02-18,81,DS2,1
Jon Pardi,2017-02-18,82,California Sunrise,11
John Legend,2017-02-18,83,Darkness And Light,14
A Boogie Wit Da Hoodie,2017-02-18,84,Artist,70
New Edition,2017-02-18,85,Heart Break,85
Luke Bryan,2017-02-18,86,Kill The Lights,1
Frank Ocean,2017-02-18,87,Blonde,1
Queen,2017-02-18,88,Greatest Hits I Ii & Iii: The Platinum Collection,72
6Lack,2017-02-18,89,Free 6lack,68
Drake,2017-02-18,90,Nothing Was The Same,1
George Michael,2017-02-18,91,Faith,18
Miranda Lambert,2017-02-18,92,The Weight Of These Wings,3
Lil Uzi Vert,2017-02-18,93,The Perfect Luv Tape,55
Kings Of Leon,2017-02-18,94,Walls,1
Eminem,2017-02-18,95,Curtain Call: The Hits,1
Disturbed,2017-02-18,96,Immortalized,1
Adele,2017-02-18,97,21,1
Eric Church,2017-02-18,98,Mr. Misunderstood,2
Blake Shelton,2017-02-18,99,If I'm Honest,3
Beyoncé,2017-02-18,100,Beyoncé,1
The Weeknd,2017-02-11,1,Starboy,1
John Mayer,2017-02-11,2,The Search For Everything: Wave One (ep),2
Soundtrack,2017-02-11,3,La La Land,2
Bruno Mars,2017-02-11,4,24K Magic,2
AFI,2017-02-11,5,Afi,5
Soundtrack,2017-02-11,6,Moana,2
Post Malone,2017-02-11,7,Stoney,6
Original Broadway Cast Recording,2017-02-11,8,Hamilton: An American Musical,3
Drake,2017-02-11,9,Views,1
J. Cole,2017-02-11,10,4 Your Eyez Only,1
Starset,2017-02-11,11,Vessels,11
Soundtrack,2017-02-11,12,Trolls,3
Rihanna,2017-02-11,13,ANTI,1
Twenty One Pilots,2017-02-11,14,Blurryface,1
Travis Scott,2017-02-11,15,Birds In The Trap Sing McKnight,1
Various Artists,2017-02-11,16,2017 Grammy Nominees,16
The Chainsmokers,2017-02-11,17,Collage,6
Kidz Bop Kids,2017-02-11,18,Kidz Bop 3,6
Rae Sremmurd,2017-02-11,19,Sremmlife 2,4
Various Artists,2017-02-11,20,"The Rca-list, Volume 2",20
Chris Stapleton,2017-02-11,21,Traveller,1
Adele,2017-02-11,22,25,1
Soundtrack,2017-02-11,23,Suicide Squad - The Album,1
Panic! At The Disco,2017-02-11,24,Death Of A Bachelor,1
Ariana Grande,2017-02-11,25,Dangerous Woman,2
21 Savage,2017-02-11,26,Savage Mode,23
Jon Bellion,2017-02-11,27,The Human Condition,5
Nicky Jam,2017-02-11,28,Fenix,28
Shawn Mendes,2017-02-11,29,Illuminate,1
The XX,2017-02-11,30,I See You,2
Sia,2017-02-11,31,This Is Acting,4
Jacob Sartorius,2017-02-11,32,The Last Text,32
Various Artists,2017-02-11,33,Epic Lit,27
The Weeknd,2017-02-11,34,Beauty Behind The Madness,1
Chance The Rapper,2017-02-11,35,Coloring Book,8
PnB Rock,2017-02-11,36,Gttm: Goin Thru The Motions,28
Keith Urban,2017-02-11,37,Ripcord,4
Childish Gambino,2017-02-11,38,"Awaken, My Love!",5
Bryson Tiller,2017-02-11,39,T R A P S O U L,8
Kanye West,2017-02-11,40,The Life Of Pablo,1
Gucci Mane,2017-02-11,41,The Return Of East Atlanta Santa,16
Alessia Cara,2017-02-11,42,Know-it-all,9
Lil Uzi Vert,2017-02-11,43,Lil Uzi Vert Vs. The World,37
The Lumineers,2017-02-11,44,Cleopatra,1
Marian Hill,2017-02-11,45,Act One,45
Soundtrack,2017-02-11,46,Sing,8
Metallica,2017-02-11,47,Hardwired...To Self-Destruct,1
Beyoncé,2017-02-11,48,Lemonade,1
Ed Sheeran,2017-02-11,49,X,1
J. Cole,2017-02-11,50,2014 Forest Hills Drive,1
Twenty One Pilots,2017-02-11,51,Vessel,21
James Arthur,2017-02-11,52,Back From The Edge,52
Melanie Martinez,2017-02-11,53,Cry Baby,6
Thomas Rhett,2017-02-11,54,Tangled Up,6
Justin Bieber,2017-02-11,55,Purpose,1
Florida Georgia Line,2017-02-11,56,Dig Your Roots,2
G-Eazy,2017-02-11,57,When It's Dark Out,5
Drake,2017-02-11,58,If You're Reading This It's Too Late,1
Lady GaGa,2017-02-11,59,Joanne,1
Run The Jewels,2017-02-11,60,Run The Jewels 3,13
DJ Snake,2017-02-11,61,Encore,8
Drake,2017-02-11,62,Take Care,1
Kevin Gates,2017-02-11,63,Islah,2
Halsey,2017-02-11,64,Badlands,2
George Michael,2017-02-11,65,Faith,18
Eminem,2017-02-11,66,The Eminem Show,12
D.R.A.M.,2017-02-11,67,Big Baby D.r.a.m.,19
John Legend,2017-02-11,68,Darkness And Light,14
Jason Aldean,2017-02-11,69,They Don't Know,1
Kaleo,2017-02-11,70,A / B,16
Future,2017-02-11,71,DS2,1
Queen,2017-02-11,72,Greatest Hits I Ii & Iii: The Platinum Collection,72
Bryan Lanning,2017-02-11,73,Us,73
A Boogie Wit Da Hoodie,2017-02-11,74,Artist,70
Blake Shelton,2017-02-11,75,If I'm Honest,3
Sam Hunt,2017-02-11,76,Montevallo,3
Kendrick Lamar,2017-02-11,77,"Good Kid, M.A.A.D City",2
Jon Pardi,2017-02-11,78,California Sunrise,11
Lil Uzi Vert,2017-02-11,79,The Perfect Luv Tape,55
Drake,2017-02-11,80,Nothing Was The Same,1
Frank Ocean,2017-02-11,81,Blonde,1
Various Artists,2017-02-11,82,Now 60,7
6Lack,2017-02-11,83,Free 6lack,68
Yo Gotti,2017-02-11,84,White Friday (cm9),16
Kid Cudi,2017-02-11,85,"Passion, Pain & Demon Slayin'",11
Lauren Daigle,2017-02-11,86,How Can It Be,28
Luke Bryan,2017-02-11,87,Kill The Lights,1
Wham!,2017-02-11,88,Make It Big,88
Adele,2017-02-11,89,21,1
Drake,2017-02-11,90,What A Time To Be Alive,1
Sam Smith,2017-02-11,91,In The Lonely Hour,2
Eminem,2017-02-11,92,Curtain Call: The Hits,1
Eric Church,2017-02-11,93,Mr. Misunderstood,2
Miranda Lambert,2017-02-11,94,The Weight Of These Wings,3
Fetty Wap,2017-02-11,95,Fetty Wap,1
Bruno Mars,2017-02-11,96,Doo-wops & Hooligans,3
Dierks Bentley,2017-02-11,97,Black,2
Solange,2017-02-11,98,A Seat At The Table,1
DJ Khaled,2017-02-11,99,Major Key,1
Fifth Harmony,2017-02-11,100,7 / 27,4
The Weeknd,2017-02-04,1,Starboy,1
The XX,2017-02-04,2,I See You,2
Soundtrack,2017-02-04,3,La La Land,2
Soundtrack,2017-02-04,4,Moana,2
Bruno Mars,2017-02-04,5,24K Magic,2
Original Broadway Cast Recording,2017-02-04,6,Hamilton: An American Musical,3
J. Cole,2017-02-04,7,4 Your Eyez Only,1
Drake,2017-02-04,8,Views,1
Post Malone,2017-02-04,9,Stoney,6
Soundtrack,2017-02-04,10,Trolls,3
The Chainsmokers,2017-02-04,11,Collage,6
Rihanna,2017-02-04,12,ANTI,1
Run The Jewels,2017-02-04,13,Run The Jewels 3,13
Twenty One Pilots,2017-02-04,14,Blurryface,1
Rae Sremmurd,2017-02-04,15,Sremmlife 2,4
Chris Stapleton,2017-02-04,16,Traveller,1
Soundtrack,2017-02-04,17,Suicide Squad - The Album,1
Travis Scott,2017-02-04,18,Birds In The Trap Sing McKnight,1
Ariana Grande,2017-02-04,19,Dangerous Woman,2
Various Artists,2017-02-04,20,"The Rca-list, Volume 2",20
Adele,2017-02-04,21,25,1
Soundtrack,2017-02-04,22,Sing,8
21 Savage,2017-02-04,23,Savage Mode,23
Jon Bellion,2017-02-04,24,The Human Condition,5
Shawn Mendes,2017-02-04,25,Illuminate,1
The Weeknd,2017-02-04,26,Beauty Behind The Madness,1
Sia,2017-02-04,27,This Is Acting,4
PnB Rock,2017-02-04,28,Gttm: Goin Thru The Motions,28
Various Artists,2017-02-04,29,Epic Lit,27
Childish Gambino,2017-02-04,30,"Awaken, My Love!",5
Panic! At The Disco,2017-02-04,31,Death Of A Bachelor,1
Danny Gokey,2017-02-04,32,Rise,32
Chance The Rapper,2017-02-04,33,Coloring Book,8
Keith Urban,2017-02-04,34,Ripcord,4
Gucci Mane,2017-02-04,35,The Return Of East Atlanta Santa,16
Metallica,2017-02-04,36,Hardwired...To Self-Destruct,1
Ed Sheeran,2017-02-04,37,X,1
Kanye West,2017-02-04,38,The Life Of Pablo,1
Bryson Tiller,2017-02-04,39,T R A P S O U L,8
Alessia Cara,2017-02-04,40,Know-it-all,9
Lil Uzi Vert,2017-02-04,41,Lil Uzi Vert Vs. The World,37
Melanie Martinez,2017-02-04,42,Cry Baby,6
Beyoncé,2017-02-04,43,Lemonade,1
Thomas Rhett,2017-02-04,44,Tangled Up,6
J. Cole,2017-02-04,45,2014 Forest Hills Drive,1
The Lumineers,2017-02-04,46,Cleopatra,1
Twenty One Pilots,2017-02-04,47,Vessel,21
Justin Bieber,2017-02-04,48,Purpose,1
The Killers,2017-02-04,49,Hot Fuss,7
Florida Georgia Line,2017-02-04,50,Dig Your Roots,2
DJ Snake,2017-02-04,51,Encore,8
Halsey,2017-02-04,52,Badlands,2
G-Eazy,2017-02-04,53,When It's Dark Out,5
James Arthur,2017-02-04,54,Back From The Edge,52
Drake,2017-02-04,55,If You're Reading This It's Too Late,1
Kevin Gates,2017-02-04,56,Islah,2
John Legend,2017-02-04,57,Darkness And Light,14
Lady GaGa,2017-02-04,58,Joanne,1
Bonobo,2017-02-04,59,Migration,59
Drake,2017-02-04,60,Take Care,1
D.R.A.M.,2017-02-04,61,Big Baby D.r.a.m.,19
Flaming Lips,2017-02-04,62,Oczy Mlody,62
Eminem,2017-02-04,63,The Eminem Show,12
George Michael,2017-02-04,64,Faith,18
Michael Jackson,2017-02-04,65,The Essential Michael Jackson,46
Kid Cudi,2017-02-04,66,"Passion, Pain & Demon Slayin'",11
Yo Gotti,2017-02-04,67,White Friday (cm9),16
Jason Aldean,2017-02-04,68,They Don't Know,1
Sturgill Simpson,2017-02-04,69,A Sailor's Guide To Earth,3
A Boogie Wit Da Hoodie,2017-02-04,70,Artist,70
The Rolling Stones,2017-02-04,71,Blue And Lonesome,4
Future,2017-02-04,72,DS2,1
Various Artists,2017-02-04,73,Now 60,7
Kendrick Lamar,2017-02-04,74,"Good Kid, M.A.A.D City",2
Sam Hunt,2017-02-04,75,Montevallo,3
Colony House,2017-02-04,76,Only The Lonely,76
Various Artists,2017-02-04,77,The Hamilton Mixtape,1
Queen,2017-02-04,78,Greatest Hits I Ii & Iii: The Platinum Collection,78
Lil Uzi Vert,2017-02-04,79,The Perfect Luv Tape,55
Social Club Misfits,2017-02-04,80,The Misadventures Of Fern & Marty,80
Miranda Lambert,2017-02-04,81,The Weight Of These Wings,3
Frank Ocean,2017-02-04,82,Blonde,1
U2,2017-02-04,83,The Joshua Tree ,47
Drake,2017-02-04,84,Nothing Was The Same,1
Blake Shelton,2017-02-04,85,If I'm Honest,3
Bruno Mars,2017-02-04,86,Doo-wops & Hooligans,3
Marian Hill,2017-02-04,87,Act One,87
Luke Bryan,2017-02-04,88,Kill The Lights,1
Jon Pardi,2017-02-04,89,California Sunrise,11
A Tribe Called Quest,2017-02-04,90,We Got It From Here... Thank You 4 Your Service,1
Drake,2017-02-04,91,What A Time To Be Alive,1
Adele,2017-02-04,92,21,1
Wham!,2017-02-04,93,Make It Big,93
3 Doors Down,2017-02-04,94,The Greatest Hits,94
Sam Smith,2017-02-04,95,In The Lonely Hour,2
Fetty Wap,2017-02-04,96,Fetty Wap,1
Fifth Harmony,2017-02-04,97,7 / 27,4
Dierks Bentley,2017-02-04,98,Black,2
DJ Khaled,2017-02-04,99,Major Key,1
Meek Mill,2017-02-04,100,DC4,3
The Weeknd,2017-01-28,1,Starboy,1
Soundtrack,2017-01-28,2,La La Land,2
Soundtrack,2017-01-28,3,Moana,2
Bruno Mars,2017-01-28,4,24K Magic,2
J. Cole,2017-01-28,5,4 Your Eyez Only,1
Original Broadway Cast Recording,2017-01-28,6,Hamilton: An American Musical,3
Drake,2017-01-28,7,Views,1
Dropkick Murphys,2017-01-28,8,11 Short Stories Of Pain & Glory,8
Post Malone,2017-01-28,9,Stoney,6
Chris Stapleton,2017-01-28,10,Traveller,1
Rihanna,2017-01-28,11,ANTI,1
The Chainsmokers,2017-01-28,12,Collage,6
Twenty One Pilots,2017-01-28,13,Blurryface,1
Soundtrack,2017-01-28,14,Trolls,3
Soundtrack,2017-01-28,15,Suicide Squad - The Album,1
Rae Sremmurd,2017-01-28,16,Sremmlife 2,4
Shawn Mendes,2017-01-28,17,Illuminate,1
Ariana Grande,2017-01-28,18,Dangerous Woman,2
Travis Scott,2017-01-28,19,Birds In The Trap Sing McKnight,1
Soundtrack,2017-01-28,20,Sing,8
Various Artists,2017-01-28,21,"The Rca-list, Volume 2",21
Adele,2017-01-28,22,25,1
Halestorm,2017-01-28,23,Reanimate 3.0: The Covers,23
21 Savage,2017-01-28,24,Savage Mode,24
