artist,date,rank,title,weeks
Ayo,2017-07-01,26,Rolex,20
Charlie Puth,2017-07-01,27,Attention,27
Khalid,2017-07-01,28,Location,16
Harry Styles,2017-07-01,29,Sign Of The Times,4
Jason DeRulo,2017-07-01,30,Swalla,29
Brett Young,2017-07-01,31,In Case You Didn't Know,19
Kendrick Lamar,2017-07-01,32,DNA.,4
Playboi Carti,2017-07-01,33,Magnolia,33
The Chainsmokers,2017-07-01,34,Closer,1
Migos,2017-07-01,35,Bad And Boujee,1
Migos,2017-07-01,36,Slippery,36
YFN Lucci,2017-07-01,37,Everyday We Lit,37
Travis Scott,2017-07-01,38,Goosebumps,32
Bruno Mars,2017-07-01,39,24K Magic,4
Kodak Black,2017-07-01,40,Tunnel Vision,6
Migos,2017-07-01,41,T-shirt,19
A Boogie Wit Da Hoodie,2017-07-01,42,Drowning,41
Luke Combs,2017-07-01,43,Hurricane,31
Liam Payne,2017-07-01,44,Strip That Down,42
Drake,2017-07-01,45,Passionfruit,8
Calvin Harris,2017-07-01,46,Slide,25
Keith Urban,2017-07-01,47,The Fighter,38
Lady GaGa,2017-07-01,48,The Cure,39
Alessia Cara,2017-07-01,49,Scars To Your Beautiful,8
Rae Sremmurd,2017-07-01,50,Swang,26
Florida Georgia Line,2017-07-01,51,"God, Your Mama, And Me",50
Thomas Rhett,2017-07-01,52,Craving You,52
DJ Khaled,2017-07-01,53,To The Max,53
Xxxtentacion,2017-07-01,54,Look At Me!,34
Camila Cabello,2017-07-01,55,Crying In The Club,47
Tee Grizzley,2017-07-01,56,First Day Out,56
Dan + Shay,2017-07-01,57,How Not To,57
Kendrick Lamar,2017-07-01,58,Love.,18
Lady Antebellum,2017-07-01,59,You Look Good,59
Dylan Scott,2017-07-01,60,My Girl,60
Blake Shelton,2017-07-01,61,Every Time I Hear That Song,61
Katy Perry,2017-07-01,62,Swish Swish,46
Darius Rucker,2017-07-01,63,If I Told You,53
Maroon 5,2017-07-01,64,Cold,16
Maluma,2017-07-01,65,Felices Los 4,65
Drake,2017-07-01,66,Portland,9
Midland,2017-07-01,67,Drinkin' Problem,67
Logic,2017-07-01,68,1-800-273-8255,47
Chris Brown,2017-07-01,69,Privacy,66
SZA,2017-07-01,70,Love Galore,70
Fifth Harmony,2017-07-01,71,Down,42
Cole Swindell,2017-07-01,72,Flatliner,72
AJR,2017-07-01,73,Weak,73
Kendrick Lamar,2017-07-01,74,Loyalty.,14
Rascal Flatts,2017-07-01,75,Yours If You Want It,75
Dustin Lynch,2017-07-01,76,Small Town Boy,76
Cheat Codes,2017-07-01,77,No Promises,74
Old Dominion,2017-07-01,78,No Such Thing As A Broken Heart,78
Billy Currington,2017-07-01,79,Do I Make You Wanna,79
Russ,2017-07-01,80,Losin Control,62
Travis Scott,2017-07-01,81,Butterfly Effect,81
Playboi Carti,2017-07-01,82,Woke Up Like This,76
Linkin Park,2017-07-01,83,Heavy,50
2 Chainz,2017-07-01,84,4 AM,73
Katy Perry,2017-07-01,85,Bon Appetit,59
Dierks Bentley,2017-07-01,86,Black,56
Imagine Dragons,2017-07-01,87,Thunder,70
Hailee Steinfeld,2017-07-01,88,Most Girls,75
Wisin,2017-07-01,89,Escapate Conmigo,89
Enrique Iglesias,2017-07-01,90,Súbeme La Radio,81
Justin Moore,2017-07-01,91,Somebody Else Will,91
Trey Songz,2017-07-01,92,Nobody Else But You,92
Kane Brown,2017-07-01,93,What Ifs,93
2 Chainz X Gucci Mane X Quavo,2017-07-01,94,Good Drank,82
2 Chainz,2017-07-01,95,It's A Vibe,95
Josh Turner,2017-07-01,96,Hometown Girl,56
The Weeknd,2017-07-01,97,Reminder,31
Drake,2017-07-01,98,Gyalchester,29
Major Lazer,2017-07-01,99,Know No Better,87
Brothers Osborne,2017-07-01,100,It Ain't My Fault,100
Luis Fonsi,2017-06-24,1,Despacito,1
Bruno Mars,2017-06-24,2,That's What I Like,1
DJ Khaled,2017-06-24,3,I'm The One,1
Ed Sheeran,2017-06-24,4,Shape Of You,1
Kendrick Lamar,2017-06-24,5,Humble.,1
Future,2017-06-24,6,Mask Off,5
Lil Uzi Vert,2017-06-24,7,XO Tour Llif3,7
The Chainsmokers,2017-06-24,8,Something Just Like This,3
Zedd,2017-06-24,9,Stay,7
Post Malone,2017-06-24,10,Congratulations,10
James Arthur,2017-06-24,11,Say You Won't Let Go,11
Julia Michaels,2017-06-24,12,Issues,11
Imagine Dragons,2017-06-24,13,Believer,13
Sam Hunt,2017-06-24,14,Body Like A Back Road,6
Kygo,2017-06-24,15,It Ain't Me,10
Childish Gambino,2017-06-24,16,Redbone,16
French Montana,2017-06-24,17,Unforgettable,17
Shawn Mendes,2017-06-24,18,There's Nothing Holdin' Me Back,18
Kyle,2017-06-24,19,iSpy,4
Brett Young,2017-06-24,20,In Case You Didn't Know,19
Halsey,2017-06-24,21,Now Or Never,21
Khalid,2017-06-24,22,Location,16
Ed Sheeran,2017-06-24,23,Castle On The Hill,6
Ayo,2017-06-24,24,Rolex,20
Harry Styles,2017-06-24,25,Sign Of The Times,4
Miley Cyrus,2017-06-24,26,Malibu,10
Kendrick Lamar,2017-06-24,27,DNA.,4
Niall Horan,2017-06-24,28,Slow Hands,28
Jason DeRulo,2017-06-24,29,Swalla,29
Migos,2017-06-24,30,Bad And Boujee,1
Charlie Puth,2017-06-24,31,Attention,31
The Chainsmokers,2017-06-24,32,Closer,1
Rae Sremmurd,2017-06-24,33,Swang,26
Drake,2017-06-24,34,Passionfruit,8
Calvin Harris,2017-06-24,35,Slide,25
Travis Scott,2017-06-24,36,Goosebumps,32
Luke Combs,2017-06-24,37,Hurricane,31
Kodak Black,2017-06-24,38,Tunnel Vision,6
Migos,2017-06-24,39,T-shirt,19
Playboi Carti,2017-06-24,40,Magnolia,40
Bruno Mars,2017-06-24,41,24K Magic,4
Fifth Harmony,2017-06-24,42,Down,42
Migos,2017-06-24,43,Slippery,43
A Boogie Wit Da Hoodie,2017-06-24,44,Drowning,41
Selena Gomez,2017-06-24,45,Bad Liar,27
Lady GaGa,2017-06-24,46,The Cure,39
Alessia Cara,2017-06-24,47,Scars To Your Beautiful,8
Keith Urban,2017-06-24,48,The Fighter,38
Clean Bandit,2017-06-24,49,Rockabye,9
Florida Georgia Line,2017-06-24,50,"God, Your Mama, And Me",50
Liam Payne,2017-06-24,51,Strip That Down,42
Thomas Rhett,2017-06-24,52,Craving You,52
DJ Khaled,2017-06-24,53,To The Max,53
Darius Rucker,2017-06-24,54,If I Told You,53
Xxxtentacion,2017-06-24,55,Look At Me!,34
Camila Cabello,2017-06-24,56,Crying In The Club,47
Kendrick Lamar,2017-06-24,57,Love.,18
Maroon 5,2017-06-24,58,Cold,16
Tee Grizzley,2017-06-24,59,First Day Out,57
Dan + Shay,2017-06-24,60,How Not To,60
Dylan Scott,2017-06-24,61,My Girl,61
YFN Lucci,2017-06-24,62,Everyday We Lit,47
Blake Shelton,2017-06-24,63,Every Time I Hear That Song,63
Drake,2017-06-24,64,Portland,9
Logic,2017-06-24,65,1-800-273-8255,47
Lady Antebellum,2017-06-24,66,You Look Good,60
Linkin Park,2017-06-24,67,Heavy,50
Chris Brown,2017-06-24,68,Privacy,66
Midland,2017-06-24,69,Drinkin' Problem,69
Maluma,2017-06-24,70,Felices Los 4,70
Dierks Bentley,2017-06-24,71,Black,56
Cole Swindell,2017-06-24,72,Flatliner,72
2 Chainz,2017-06-24,73,4 AM,73
Kendrick Lamar,2017-06-24,74,Loyalty.,14
Russ,2017-06-24,75,Losin Control,62
Rascal Flatts,2017-06-24,76,Yours If You Want It,76
Cheat Codes,2017-06-24,77,No Promises,74
Old Dominion,2017-06-24,78,No Such Thing As A Broken Heart,78
AJR,2017-06-24,79,Weak,79
Playboi Carti,2017-06-24,80,Woke Up Like This,76
Imagine Dragons,2017-06-24,81,Thunder,70
Meek Mill,2017-06-24,82,Whatever You Need,82
Katy Perry,2017-06-24,83,Swish Swish,46
2 Chainz X Gucci Mane X Quavo,2017-06-24,84,Good Drank,82
Dustin Lynch,2017-06-24,85,Small Town Boy,85
Hailee Steinfeld,2017-06-24,86,Most Girls,75
Major Lazer,2017-06-24,87,Know No Better,87
Blackbear,2017-06-24,88,Do Re Mi,87
Lil Yachty,2017-06-24,89,Peek A Boo,78
Josh Turner,2017-06-24,90,Hometown Girl,56
Drake,2017-06-24,91,Gyalchester,29
Gucci Mane,2017-06-24,92,Met Gala,88
Travis Scott,2017-06-24,93,Butterfly Effect,93
Jake Paul,2017-06-24,94,It's Everyday Bro,94
Martin Garrix,2017-06-24,95,Scared To Be Lonely,76
Enrique Iglesias,2017-06-24,96,Súbeme La Radio,81
Justin Moore,2017-06-24,97,Somebody Else Will,97
Katy Perry,2017-06-24,98,Bon Appetit,59
