artist,date,genre,release_date,title
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",2018-02-12T19:44:22-08:00,Soundtrack,": December 8, 2017",The Greatest Show
Bad Wolves,2018-02-12T19:44:22-08:00,Heavy Metal,": January 19, 2018",Zombie
Russell Dickerson,2018-02-12T19:44:22-08:00,Country,": January 18, 2016",Yours
Sam Smith,2018-02-12T19:44:22-08:00,Pop,": September 8, 2017",Too Good at Goodbyes
P!nk,2018-02-12T19:44:22-08:00,Pop,": October 13, 2017",Beautiful Trauma
Sofi Tukker,2018-02-12T19:44:22-08:00,Dance,": September 12, 2017","Best Friend (feat. NERVO, The Knocks & Alisa Ueno)"
Cardi B,2018-02-12T19:44:22-08:00,Hip Hop / Rap,": December 22, 2017",Bartier Cardi (feat. 21 Savage)
Bruno Mars,2018-02-12T19:44:22-08:00,Pop,": October 7, 2016",24K Magic
G-Eazy,2018-02-12T19:44:22-08:00,Hip Hop / Rap,": September 8, 2017",No Limit (feat. A$AP Rocky & Cardi B)
Loren Allred,2018-02-12T19:44:22-08:00,Soundtrack,": December 8, 2017",Never Enough
Morgan Wallen,2018-02-12T19:44:22-08:00,Country,": October 6, 2017",Up Down (feat. Florida Georgia Line)
Maroon 5,2018-02-12T19:44:22-08:00,Pop,": August 30, 2017",What Lovers Do (feat. SZA)
Daryle Singletary,2018-02-12T19:44:22-08:00,Country,": October 4, 1996",Amen Kind of Love
Jordan Davis,2018-02-12T19:44:22-08:00,Country,": May 26, 2017",Singles You Up
Brett Eldredge,2018-02-12T19:44:22-08:00,Country,": August 4, 2017",The Long Way
Post Malone,2018-02-12T19:44:22-08:00,Hip Hop / Rap,": September 15, 2017",rockstar (feat. 21 Savage)
LANCO,2018-02-12T19:44:22-08:00,Country,": April 15, 2016",Greatest Love Story
Coldplay,2018-02-12T19:44:22-08:00,Alternative,": October 24, 2011",Paradise
Kane Brown,2018-02-12T19:44:22-08:00,Country,": December 2, 2016",What Ifs (feat. Lauren Alaina)
TobyMac,2018-02-12T19:44:22-08:00,Christian & Gospel,": January 5, 2018",I just need U.
The Chainsmokers & Coldplay,2018-02-12T19:44:22-08:00,Dance,": February 22, 2017",Something Just Like This
Demi Lovato,2018-02-12T19:44:22-08:00,Pop,": July 11, 2017",Sorry Not Sorry
Ed Sheeran,2018-02-12T19:44:22-08:00,Pop,": June 20, 2014",Thinking Out Loud
BlocBoy JB,2018-02-12T19:44:22-08:00,Hip Hop / Rap,: ,Look Alive (feat. Drake)
Liam Payne & Rita Ora,2018-02-12T19:44:22-08:00,Soundtrack,: ,For You (Fifty Shades Freed)
Jon Langston,2018-02-12T19:44:22-08:00,Country,: ,When It Comes to Loving You
Marshmello & Anne-Marie,2018-02-12T19:44:22-08:00,Pop,: ,FRIENDS
Julia Michaels,2018-02-12T19:44:22-08:00,Soundtrack,: ,Heaven
Hailee Steinfeld & BloodPop®,2018-02-12T19:44:22-08:00,Soundtrack,: ,Capital Letters
"ScHoolboy Q, 2 Chainz, Saudi",2018-02-12T19:44:22-08:00,Hip Hop / Rap,: ,X
Bishop Briggs,2018-02-12T19:44:22-08:00,Soundtrack,: ,Never Tear Us Apart
Whethan & Dua Lipa,2018-02-12T19:44:22-08:00,Soundtrack,: ,High
Rich The Kid,2018-02-12T19:44:22-08:00,Hip Hop / Rap,: ,Plug Walk
Ellie Goulding,2018-02-12T19:44:22-08:00,Pop,: ,Love Me Like You Do
